type,numNodessize,NumberOfWords,ID,Sentence,AccessControl,XiaoACP,ModelVerb,PassiveTo,AccessExpression,AbilityExpression,AccessControl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,9,14,42,"(For example, a mother could choose herself and any one of her children.)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,8,15,43,Public Health Agent: A person legally authorized view and respond to reports of adverse events.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,public health agent;respond;report,public health agent;view;report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,10,18,44,Lab Technician (LT): A clinical worker that runs diagnostic tests on samples gathered from patients during office visits.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,6,12,45,"The lab technician can specialize in blood work, tissue work, or general.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,5,8,46,These are the standards codes used within iTrust:.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,22,43,47,"ICD-9CM: The International Statistical Classification of Diseases and Related Health Problems (most commonly known by the abbreviation ICD) provides codes to classify diseases and a wide variety of signs, symptoms, abnormal findings, complaints, social circumstances and external causes of injury or disease.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,4,7,48,"NHCS Classification of Diseases, Functioning and Disability.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,10,22,49,ND: The National Drug Code (NDC) is a universal product identifier used in the United States for drugs intended for human use.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,4,50,National Drug Code Directory.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,11,19,51,LOINC: Logical Observation Identifiers Names and Codes (LOINC) is a database and universal standard for identifying medical laboratory observations.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,23,38,52,"CPT: The CPT code set accurately describes medical, surgical, and diagnostic services and is designed to communicate uniform information about medical services and procedures among physicians, coders, patients, accreditation organizations, and payers for administrative, financial, and analytical purposes.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,2,5,53,ORC: The override reason code.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,7,14,54,A set of reasons for ignoring a reaction warning and prescribing a medication anyways.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,3,55,Override Reason Codes.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,3,56,3 Functional Requirements.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,4,9,57,3.1 Use Case Diagram and Flow of Events.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
list-start,9,14,58,"There are 45  Use Cases for the system, as indicated by the attached diagram:",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,5,7,59,Throughout this document MID = medical identification number.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,5,10,60,The MID is a unique number assigned to all roles.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,5,61,3.2 Use Case Descriptions,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,8,12,62,"The following use cases have been retired: 7, 14,20, 39,41.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,5,8,63,The following use cases document flows of events.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,6,10,64,3.2.1 UC1 Create and Disable Patients Use Case.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,5,65,3.2.1.1 Preconditions.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,7,15,66,The iTrust HCP has authenticated himself or herself in the iTrust Medical Records system (UC3).,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,6,67,3.2.1.2 Main Flow.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,9,13,68,An HCP is able to create a patient  or disable a selected patient .,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,hcp;create;patient,hcp;disable;patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,8,11,69,The create or disable patients and HCP transaction is logged (UC5).,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,6,70,3.2.1.3 Sub-flows.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,6,14,71,The HCP enters a patient as a new user of iTrust Medical Records system.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,hcp;enter;patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,5,7,72,Only the name and email are provided.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,17,28,73,"The patient's assigned MID and a secret key (the initial password) are personally provided to the user, with which the user can reset his or her password.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,user;reset;password,;provide;secret key,;provide;mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,18,28,74,The HCP can edit the patient according to data format 6.4  with all initial values (except patient MID) defaulting to null possibly and possibly 0 as appropriate.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,hcp;edit;patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,13,19,75,Patient MID should be the number assigned when the patient is added to the system and cannot be edited.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,;edit;patient;NEG-not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,12,20,76,The HCP does not have the ability to enter or edit or view the patient's security question or password.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,hcp;enter;security question;NEG-not,hcp;edit;security question;NEG-not,hcp;view;security question;NEG-not,hcp;enter;password;NEG-not,hcp;edit;password;NEG-not,hcp;view;password;NEG-not,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,5,7,77,The HCP selects a patient to deactivate.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,hcp;select;patient,hcp;deactivate;patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,16,24,78,The HCP is presented with a confirmation containing the name of the patient and determines if it is the patient they intend to deactivate .,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,hcp;present;confirmation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,14,20,79,"A deactivated patient can not be modified or log into the system, and can only be reactivated by the administrator.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,administrator;reactivate;patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,7,13,80,The HCP uploads a comma-seperated value file containing one patient per row.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,hcp;upload;comma-seperated value file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,16,27,81,"The fields of the  file must include at least the first name, last name, and e-mail address, with additional columns available for the other demographic values.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,12,22,82,"The patients are created, the tables are populated, and the MIDS and temporary passwords are displayed to the HCP in a table.",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,hcp;display;mid,hcp;display;temporary password,hcp;create;patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,3,4,83,The event is logged.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,6,84,3.2.1.4 Alternative Flows.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,22,35,85,The system prompts the enterer or editor to correct the format of a required data field because the input of that data field does not match that specified in data format 6.4 for patients.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,17,26,86,"If the confirmation screen does not show the name of the intended patient, the HCP is then prompted to input the correct patient identification information again.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,hcp;input;information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,14,21,87,"If the file is malformed, then no data is added, and an error message explaining the correct file structure is presented.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,5,88,3.2.1.5 Logging .,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,6,89,3.2.1.6 Example  File.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,4,4,90,"lastName,firstName,email,phone.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,8,91,"Peddycord,Barry,barry@itrust.org,555-555-5555.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,8,92,"Kim,Donghoon,donghoon@itrust.org,555-555-5555.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,8,93,"King,Jason,jason@itrust.org,555-555-5555.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,12,17,94,Anything that is a valid field in data format 6.4 should be accepted as a column.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,4,5,95,Acceptable header fields currently includes:.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,13,13,96,"lastName,firstName,email,streetAddress1,streetAddress2,city,state,zip,phone,motherMID,fatherMID,creditCardType,creditCardNumber.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,7,97,3.2.1.7 Sub-flow Traces.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,1,98,None.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,6,11,99,"3.2.2 UC2 Create, Disable, and Edit Personnel Use Case.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,5,100,3.2.2.1 Preconditions.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,7,15,101,The iTrust Admin has authenticated himself or herself in the iTrust Medical Records system (UC3).,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,6,102,3.2.2.2 Main Flow.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,8,17,103,"An admin creates a LHCP, an ER, a Laboratory Technician (LT), or a public health agent (PHA) .",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,admin;create;lhcp,admin;create;er,admin;create;laboratory technician,admin;create;public health agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,3,5,104,A LHCP creates an  UAP.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;create;uap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,10,15,105,"Once entered, the enterer or editor is presented a screen of the input to approve .",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,6,106,3.2.2.3 Sub-flows.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,13,26,107,"An administrator enters a LHCP, ER, or public health agent as a user of iTrust Medical Records system, initially only the name and email are provided.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,administrator;enter;lhcp,administrator;enter;er,administrator;enter;public health agent,administrator;provide;name,administrator;provide;email,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,12,19,108,"A secret key is personally provided to the user, with which the user can reset his or her password.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,user;reset;password,;provide;secret key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,17,27,109,"The admin must specify a specialty for a new LHCP (general physician, heart surgeon, OB-GYN, pediatrician, surgeon) and for a new LT ( blood, tissue, or general).",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,admin;specify;specialty,admin;specify;lhcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,16,24,110,The data for personnel can be edited according to Data Format 6.2 (all fields mandatory except for associated MID and Street Address 2) .,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,;edit;datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,19,29,111,"The administrator shall be allowed to assign a LHCP to multiple hospitals, and the administrator can choose among only the hospitals provided in the hospital list pull down menu.",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,administrator;choose;hospital,administrator;assign;lhcp,administrator;assign;hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,7,20,112,The hospital ID numbers for a LHCP are stored in the Medical Care Personnel Affiliation database (data format 6.8).,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,19,30,113,"The administrator shall be allowed to assign a LT to a single hospital, and the administrator can choose among only the hospitals provided in the hospital list pull down menu.",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,administrator;assign;lt,administrator;choose;hospital,administrator;assign;hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,7,20,114,The hospital ID numbers for a LT are stored in the Medical Care Personnel Affiliation database (data format 6.11).,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,11,22,115,A LHCP enters an UAP as a user of iTrust Medical Records system according to data format 6.2 (all fields mandatory) .,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;enter;uap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,6,116,3.2.2.4 Alternative Flows.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,22,35,117,"The system prompts the enterer or editor to correct the format of a required data field because the input of that data field does not match that specified in data format 6.2, for HCPs.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,5,118,3.2.2.5 Logging.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,2,5,119,3.2.6 Reference document.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,7,23,120,The inclusion of the ER role was inspired by Department of Health and Human Services USA Emergency Responder Electronic Health Record Use Case.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,8,121,3.2.3 UC3 Authenticate Users Use Case.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,5,122,3.2.3.1 Preconditions.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,10,14,123,Use cases UC1 and UC2 have been completed and a user has been created.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,6,124,3.2.3.2 Main Flow.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,16,26,125,A user enters their MID and their password to gain role-based entry into the iTrust Medical Records system  or requests that their password be changed .,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,user;change;password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,11,13,126,A session that has been inactive for more than ten minutes is terminated .,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,9,17,127,"Upon successful authentication, the user will be directed to a personalized home page based on their role.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,user;direct;personalized home page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,10,14,128,An authenticated session ends when the user logs out or closes the iTrust application.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,6,129,3.2.3.3 Sub-flows.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,14,19,130,"If the security question or answer has been set (it is not null) , present security question and obtain answer .",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;set;answer,;set;security question,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,11,13,131,"If answer to security question is correct, allow user to change their password.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,user;change;password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,3,5,132,An email notification is sent .,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;send;email notification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,6,9,133,Electronic sessions must terminate after ten minutes of inactivity.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,11,14,134,Ensure that authentication is reset after a period of inactivity that exceeds ten minutes.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,6,135,3.2.3.4 Alternative Flows.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,5,6,136,The user may try three times.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,18,28,137,"After three failed attempts with a userid in a given session, disallow attempts to log in via IP address for 15 minutes (see comments in the source code).",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,14,25,138,"If the patient has never stored a security question or answer, the user is asked for the random password assigned on creation of the account.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,user;ask;random password,patient;store;answer,patient;store;security question,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,5,139,3.2.3.5 Logging.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,6,10,140,3.2.4 UC4 Enter or edit Demographics Use Case.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,5,141,3.2.4.1 Preconditions.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,7,9,142,UC1 has completed and a patient has been created.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,7,15,143,The iTrust user has authenticated himself or herself in the iTrust Medical Records system (UC3).,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,6,144,3.2.4.2 Main Flow.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,6,8,145,Demographic information is entered possibly and possibly edited .,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;enter;demographic information,;edit;demographic information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,20,31,146,The enterer or editor is presented with a success or failure message and the form is updated so that the enterer or editor may correct the form or add more information.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,enterer;present;message,editor;present;message,enterer;correct;information,enterer;add;information,editor;correct;information,editor;add;information,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,6,147,3.2.4.3 Sub-flows.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
