type,numNodessize,NumberOfWords,ID,Sentence,AccessControl,XiaoACP,ModelVerb,PassiveTo,AccessExpression,AbilityExpression,AccessControl,,,,,,,,,,,,,,
normal,9,15,53,The list is sorted by the date of the last office visit (most recent first).,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;sort;list,;sort;date,,,,,,,,,,,,,
normal,8,12,54,The patient can designate any LHCP as being a DLHCP for them.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,patient;designate;lhcp,,,,,,,,,,,,,,
normal,8,12,55,The patient can undesignate any LHCP as being a DLHCP for them.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,patient;undesignate;lhcp,,,,,,,,,,,,,,
normal,13,22,56,"The patient may type a last name or partial last name, and optionally reduces the list of choices by providing the specialty.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,patient;type;name,patient;provide;specialty,,,,,,,,,,,,,
normal,15,25,57,"The patient may optionally enter a zip code (match on first three numbers of zip code), in addition to the name possibly and possibly specialty.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,patient;enter;zip code,patient;enter;name,patient;enter;specialty,,,,,,,,,,,,
normal,5,8,58,"The LHCP name, specialty, and  address are provided.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;provide;lhcp name,;provide;specialty,;provide;address,,,,,,,,,,,,
title,3,6,59,UC8 View Access Log Use Case,FALSE,,,,,,,,,,,,,,,,,,,,
normal,4,6,60,The patient views his access log.,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,patient;view;access log,,,,,,,,,,,,,,
normal,8,14,61,The patient then chooses the beginning and end date for the period of time.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;choose;date,,,,,,,,,,,,,,
normal,18,27,62,"The resulting list should include Name of accessor, Role of accessor relative to the patient, Date and time of access and Transaction Type (See Section 6.3).",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,;include;name,;include;role,;include;date,;include;time,;include;type,,,,,,,,,,
normal,9,12,63,"The patient views the list sorted by dates, most recent access first.",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,patient;view;list,patient;sort;date,patient;sort;list,,,,,,,,,,,,
normal,28,46,64,"The patient views the list sorted by the role of the accessor relative to the patient (personal health representative, DLHCP, LHCP, UAP, Emergency Responder; any order is fine as long as the list is sorted by role) as well as by date for each role type.",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,patient;view;list,patient;sort;role,patient;sort;list,patient;sort;list,patient;sort;role,patient;sort;date,,,,,,,,,
title,2,5,65,UC9 View Records Use Case,FALSE,,,,,,,,,,,,,,,,,,,,
normal,6,12,66,A patient or personal representative may view medical records including family history.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,patient;view;medical record,personal representative;view;medical record,patient;view;family history,personal representative;view;family history,,,,,,,,,,,
normal,17,31,67,"The patient or personal representative can see patient personal health information, immunizations, and office visit information for their own records and the records for whom the user is a personal representative.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,patient;see;personal health information,patient;see;immunization,patient;see;office visit information,personal representative;see;personal health information,personal representative;see;immunization,personal representative;see;office visit information,,,,,,,,,
normal,35,58,68,"(If a patient or personal representative has not taken an office visit satisfaction survey for an office visit yet) The patient may take the survey for an office visit (if the survey has already been taken, the patient or personal health representative will not have the ability to take the survey or view their previously submitted survey).",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,patient;take;survey,patient;take;office visit,patient;take;office visit,representative;take;office visit satisfaction survey,patient;take;survey;NEG-have,personal health representative;take;survey;NEG-have,patient;take;personal health representative;NEG-have,patient;take;personal health representative;NEG-have,,,,,,,
normal,16,27,69,"The patient or personal representative can see an abbreviated health history of their siblings, parents, and both sets of grandparents for which MIDs are available in iTrust.",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,patient;see;abbreviated health history,personal representative;see;abbreviated health history,,,,,,,,,,,,,
normal,12,19,70,"They can see diagnoses of blood pressure, high cholesterol, diabetes, cancer, heart disease, smoking, and the cause of death.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,they;see;diagnosis,,,,,,,,,,,,,,
title,5,9,71,UC10 Enter Or Edit Personal Health Records Use Case,FALSE,,,,,,,,,,,,,,,,,,,,
normal,3,5,72,An HCP enters a patient.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,hcp;enter;patient,,,,,,,,,,,,,,
normal,3,4,73,An HCP edits patient.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,hcp;edit;patient,,,,,,,,,,,,,,
normal,3,4,74,The information is viewed.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;view;information,,,,,,,,,,,,,,
normal,3,4,75,The information is edited.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;edit;information,,,,,,,,,,,,,,
normal,7,14,76,The health care personnel enters a MID of a patient and confirms their selection.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,health care personnel;enter;mid,health care personnel;confirm;selection,,,,,,,,,,,,,
normal,16,24,77,"The HCP can edit patient's historical values, patient's immunizations, patient's office visit information, patient's family history, and patient's BMI.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,hcp;edit;historical value,hcp;edit;immunization,hcp;edit;information,hcp;edit;history,hcp;edit;bmi,,,,,,,,,,
normal,11,15,78,"The HCP can indicate that the patient has passed away, providing an appropriate diagnosis code.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,hcp;indicate;pass away,hcp;provide;diagnosis code,,,,,,,,,,,,,
normal,9,16,79,The HCP can graph height or weight of the patient over the last 3 calendar years.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,hcp;graph;weight,hcp;graph;height,,,,,,,,,,,,,
normal,7,12,80,"For the patient, the HCP can choose height or weight to graph.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,hcp;choose;height,hcp;choose;weight,hcp;choose;patient,,,,,,,,,,,,
normal,21,35,81,"System presents a line chart giving the chosen measurements (either height or weight) of the patient spanning the last 3 calendar years of data, averaged by quarters (January-March, April-June, July-September, October-December).",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,system;present;line chart,,,,,,,,,,,,,,
normal,7,13,82,System presents an automatically-calculated value of BMI calculated based on the formula.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,system;present;automatically-calculated value,,,,,,,,,,,,,,
title,3,6,83,UC11 Document Office Visit Use Case,FALSE,,,,,,,,,,,,,,,,,,,,
normal,4,7,84,An HCP may document an office visit.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,hcp;document;office visit,,,,,,,,,,,,,,
normal,3,6,85,An HCP edits an office visit.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,hcp;edit;office visit,,,,,,,,,,,,,,
normal,8,14,86,The HCP enters a MID  or name of a patient and confirms their selection.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,hcp;enter;mid,hcp;enter;name,hcp;confirm;selection,,,,,,,,,,,,
normal,6,15,87,The HCP then documents the office visit date and hospital location of the office visit.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,hcp;document;office visit date,hcp;document;hospital location,hcp;document;office visit,,,,,,,,,,,,
normal,3,7,88,The HCP notes about an office visit.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,hcp;note;office visit,,,,,,,,,,,,,,
normal,6,10,89,The HCP's medical identification number should also be maintained.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,;also;medical identification number,,,,,,,,,,,,,,
normal,45,57,90,"Additionally, the HCP can document none, one, or more medications prescribed; none, one, or more lab procedures that are ordered (LOINC code, see Data Format 6.11); none, one, or more diagnoses (via the ICD-9CM code); none, one, or more medical procedures performed; and none, one, or more immunizations given chosen from appropriate pull-down lists.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,hcp;document;medication,hcp;document;procedure,hcp;document;immunization,hcp;document;procedure,hcp;document;diagnosis,,,,,,,,,,
normal,4,4,91,All events are logged.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;log;event,,,,,,,,,,,,,,
normal,4,7,92,HCPs can return to an office visit.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,hcp;return;office visit,,,,,,,,,,,,,,
normal,17,24,93,"HCPs can modify or delete the fields of the office visit information (date, hospital, notes, prescriptions, laboratory procedures, diagnoses, procedures, possibly and possibly immunizations).",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,hcp;modify;office visit information,hcp;delete;office visit information,,,,,,,,,,,,,
normal,12,19,94,The event is logged and the HCP is returned in the specific office visit record to verify his changes.,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,hcp;log;event,hcp;return;office visit record,,,,,,,,,,,,,
normal,7,11,95,The HCP selects a medication prescribed from a pull down list.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,hcp;select;medication,,,,,,,,,,,,,,
normal,10,19,96,"The HCP provides the dosage in milligrams, the start and end date for the prescription, and any special instructions.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,hcp;provide;dosage,hcp;provide;date,hcp;provide;special instruction,,,,,,,,,,,,
normal,9,11,97,"The instructions can contain numbers, characters, symbols, blankspace and carriage return.",FALSE,,,,,,,,,,,,,,,,,,,,
normal,10,12,98,"The HCP must provide instructions, or else they cannot add the prescription.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,hcp;provide;instruction,,,,,,,,,,,,,,
normal,6,11,99,The HCP can add the prescription to the list of medications.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,hcp;add;prescription,hcp;add;list,hcp;add;medication,,,,,,,,,,,,
title,3,6,100,UC12 Determine Operational Profile Use Case,FALSE,,,,,,,,,,,,,,,,,,,,
normal,4,8,101,The software tester authenticates himself in the iTrust.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,software tester;authenticate;itrust,,,,,,,,,,,,,,
normal,5,12,102,System presents the actual operational profile of the operations of the iTrust.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,system;present;actual operational profile,,,,,,,,,,,,,,
title,5,8,103,UC13 Declare or Undeclare Personal Representative Use Case,FALSE,,,,,,,,,,,,,,,,,,,,
normal,9,16,104,A patient's DLHCP adds a patient's personal representative by typing that person's MID.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,dlhcp;add;personal representative,,,,,,,,,,,,,,
normal,9,16,105,A patient's DLHCP deletes a patient's personal representative by typing that person's MID.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,dlhcp;delete;personal representative,,,,,,,,,,,,,,
title,3,6,106,UC15 Maintain Standards Lists Use Case,FALSE,,,,,,,,,,,,,,,,,,,,
normal,9,15,107,"An administrator maintains the standards list for immunizations, diagnoses, allowable drugs, or allowable physical services.",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,administrator;maintain;standard list,administrator;maintain;immunization,administrator;maintain;diagnosis,administrator;maintain;drug,administrator;maintain;allowable,,,,,,,,,,
normal,5,8,108,The administrator maintains a listing of allowable immunizations.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,administrator;maintain;listing,administrator;maintain;immunization,,,,,,,,,,,,,
normal,5,12,109,The administrator stores the CPT code and the name of the immunization.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,administrator;store;cpt code,administrator;store;name,administrator;store;immunization,,,,,,,,,,,,
normal,5,8,110,The administrator maintains a listing of allowable diagnoses.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,administrator;maintain;listing,administrator;maintain;diagnosis,,,,,,,,,,,,,
normal,6,15,111,"The administrator stores the ICD-9CM code, a classification and the name of the diagnosis.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,administrator;store;icd-9cm code,administrator;store;classification,administrator;store;name,,,,,,,,,,,,
normal,5,8,112,The administrator maintains a listing of allowable drugs.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,administrator;maintain;listing,administrator;maintain;drug,,,,,,,,,,,,,
normal,3,7,113,The administrator stores the National Drug Code.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,administrator;store;national drug code,,,,,,,,,,,,,,
normal,12,17,114,The administrator maintains a listing of allowable physical services (including laboratory procedures) that an HCP can use.,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,administrator;maintain;listing,hcp;use;physical service,administrator;maintain;physical service,,,,,,,,,,,,
normal,4,8,115,The administrator stores information of a LOINC code.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,administrator;store;information,administrator;store;loinc code,,,,,,,,,,,,,
title,3,8,116,UC16 Identify Risk of Chronic Disease Use Case,FALSE,,,,,,,,,,,,,,,,,,,,
normal,4,9,117,An LHCP chooses a chronic disease and a patient.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;choose;chronic disease,lhcp;choose;patient,,,,,,,,,,,,,
normal,4,7,118,The data in the database is analyzed.,FALSE,,,,,,,,,,,,,,,,,,,,
normal,12,19,119,Currently available risk factors for chronic diseases are defined for Diabetes and Type 1 and Type2 and Heart Disease.,FALSE,,,,,,,,,,,,,,,,,,,,
normal,11,20,120,"When the chosen patient satisfies the preconditions of the chosen chronic disease, the LHCP is provided with a warning message.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;provide;warning message,lhcp;provide;patient,lhcp;provide;chronic disease,,,,,,,,,,,,
normal,6,10,121,The message displays the risk factors that the patients exhibit.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,message;display;risk factor,,,,,,,,,,,,,,
title,4,8,122,UC17 Proactively Determine Needed Patient Care Use Case,FALSE,,,,,,,,,,,,,,,,,,,,
normal,3,6,123,An HCP chooses Office Visit Reminders.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,hcp;choose;office visit reminders,,,,,,,,,,,,,,
normal,17,26,124,"An HCP identifies chronic patients who need an office visit, older patients who need a flu shot, or any patient who is overdue for an immunization.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,hcp;identify;chronic patient,hcp;identify;patient,hcp;identify;patient,,,,,,,,,,,,
normal,16,23,125,System presents a listing of patients for whom they are a DLHCP who need care because of satisfying the one of preceding conditions.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,system;present;listing,system;present;patient,,,,,,,,,,,,,
normal,12,17,126,System presents patient's name and patient’s home phone number (so that reminder calls can be made).,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,system;present;name,system;present;home phone number,,,,,,,,,,,,,
normal,13,18,127,"The list is sorted based on the alphabetical order of the patients' last names, and then first names.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;sort;list,;sort;name,;sort;name,,,,,,,,,,,,
title,3,7,128,UC18 Maintain a Hospital Listing Use Case,FALSE,,,,,,,,,,,,,,,,,,,,
normal,3,6,129,An administrator maintains the hospital listing.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,administrator;maintain;hospital listing,,,,,,,,,,,,,,
normal,6,15,130,The administrator stores hospital Id number for the hospital and the name of the hospital.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,administrator;store;hospital id number,administrator;store;name,,,,,,,,,,,,,
normal,9,18,131,"The administrator adds a new entry for a hospital, or modify the hospital name in an existing entry.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,administrator;add;entry,administrator;modify;hospital name,,,,,,,,,,,,,
normal,8,10,132,The administrator is not allowed to delete an existing entry.,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,administrator;delete;entry;NEG-not,,,,,,,,,,,,,,
normal,9,15,133,The administrator is not allowed to modify the hospital ID number in an existing entry.,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,administrator;modify;hospital id number;NEG-not,,,,,,,,,,,,,,
title,3,6,134,UC19 View Prescription Report Use Case,FALSE,,,,,,,,,,,,,,,,,,,,
normal,6,9,135,"A patient, personal representative or LHCP views prescription reports.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;view;report,personal representative;view;report,lhcp;view;report,,,,,,,,,,,,
normal,6,11,136,A message is sent to the patient and their personal representative.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;send;message,;send;patient,;send;personal representative,,,,,,,,,,,,
normal,21,36,137,The patient or the personal representative can view a list of their own prescriptions or the prescriptions for whom the user is a person representative by choosing one patient from a a list of these patients.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,patient;view;list,patient;view;prescription,personal representative;view;list,personal representative;view;prescription,patient;choose;patient,patient;choose;list,patient;choose;patient,personal representative;choose;patient,personal representative;choose;list,personal representative;choose;patient,,,,,
normal,4,6,138,A prescription list is then displayed.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;display;prescription list,,,,,,,,,,,,,,
normal,4,8,139,A prescription list is sorted by start date.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;sort;prescription list,;sort;start date,,,,,,,,,,,,,
normal,6,10,140,LHCP selects a patient from the list of requested reports.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;select;patient,lhcp;select;list,lhcp;select;report,,,,,,,,,,,,
normal,8,14,141,"The LHCP can view a prescription list for that patient, sorted by start date.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,lhcp;view;prescription list,lhcp;view;patient,lhcp;sort;start date,,,,,,,,,,,,
normal,4,9,142,The prescription report is titled with the patient name.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;title;prescription report,;title;patient name,,,,,,,,,,,,,
normal,15,24,143,"The prescription list includes medication, date prescribed, start date, end date for each prescription, and the name of the doctor who prescribed the medication.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;include;prescription list,;include;medication,;include;date,;include;date,;include;end date,;include;prescription,;include;name,;include;doctor,doctor;prescribe;medication,;include;medication,,,,,
title,3,8,144,UC21 View Emergency Electronic Health Record Use Case,FALSE,,,,,,,,,,,,,,,,,,,,
normal,6,12,145,A LHCP or ER views an emergency report and provides an MID.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;view;emergency report,er;view;emergency report,,,,,,,,,,,,,
normal,4,6,146,The LHCP obtains a printable report.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,lhcp;obtain;report,,,,,,,,,,,,,,
normal,6,11,147,The LHCP or ER enters a MID and confirms the input.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;enter;mid,er;enter;mid,,,,,,,,,,,,,
title,3,10,148,UC22 Flow of Events for the Schedule Appointments Use Case,FALSE,,,,,,,,,,,,,,,,,,,,
normal,6,10,149,An administrator can manage a standardized list of appointment types.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,administrator;manage;standardized list,,,,,,,,,,,,,,
normal,5,9,150,An LHCP can schedule an appointment with a patient.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,lhcp;schedule;appointment,lhcp;schedule;patient,,,,,,,,,,,,,
