type,numNodessize,NumberOfWords,ID,Sentence,AccessControl,XiaoACP,ModelVerb,PassiveTo,AccessExpression,AbilityExpression,AccessControl,,,,,,,,
normal,17,23,24,"Please note that when you click on a paper number, this causes files to be copied, and generation of links to those files.",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,;click;paper number,;copy;file,;generation;link,,,,,,
normal,15,19,25,"Depending on how busy our webserver is, the copying may not be completed before you click on a link.",FALSE,,,,,,,,,,,,,,
normal,8,9,26,Just retry a few seconds later if this happens.,FALSE,,,,,,,,,,,,,,
normal,5,10,27,3) Chair -  Use chair or chair as login & password combination.,FALSE,,,,,,,,,,,,,,
normal,9,13,28,You will see a list of overviews that are available to the chair.,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,you;see;list,you;see;overview,,,,,,,
normal,8,11,29,These overviews are currently updated at 5 minutes before the hour.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;update;overview,,,,,,,,
normal,9,11,30,Authors can submit their abstracts and papers using the web (uploading).,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,author;submit;abstract,author;submit;papers,,,,,,,
normal,14,18,31,CyberChair provides web pages for the reviewers to indicate their preference for papers they would like to review.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,reviewer;indicate;preference,reviewer;indicate;papers,reviewer;review;papers,,,,,,
normal,42,64,32,"Based on the preferences and the reviewers' expertise, CyberChair calculates a paper assignment proposal for the chair, where as many as possible preferences of the reviewers are honored, provided that all papers are assigned to an equal number of reviewers (so also the papers that did not get any preferences), and all reviewers are assigned as much as possible an equal number of papers.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,cyberchair;assign;papers,cyberchair;calculate;paper assignment proposal,cyberchair;assign;reviewer,cyberchair;assign;papers,,,,,
normal,8,14,33,"When done by hand, the paper assignment usually is a very time consuming job.",FALSE,,,,,,,,,,,,,,
normal,20,25,34,"Each reviewer gets a personal, password-protected webpage, that contains links to the papers (s)he is assigned to review, so they can be downloaded.",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,reviewer;get;password-protected webpage,reviewer;download;papers,;assign;he,,,,,,
normal,9,15,35,"Reviews can either be submitted via a webpage, or filled in off-line and emailed.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,;submit;review,,,,,,,,
normal,13,21,36,"After submission of a review, reviewers will be able to read the other reviewers' reviews and prepare for the PC meeting.",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,reviewer;submission;review,reviewer;read;review,reviewer;prepare;pc meeting,reviewer;read;reviewer,,,,,
normal,12,15,37,The reviewers' pages are regenerated frequently in order to reflect changes (such as conflicting reviews).,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,;regenerate;page,,,,,,,,
normal,11,14,38,Downloading of papers by the reviewers can start as soon as papers are submitted.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,reviewer;download;papers,,,,,,,,
normal,10,12,39,There is no need to wait until the submission process has finished.,FALSE,,,,,,,,,,,,,,
normal,11,18,40,"The level of agreement among reviewers is indicated on each reviewer's personal page, using a coloring scheme.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,reviewer;indicate;level agreement,,,,,,,,
normal,17,24,41,"When the level of agreement differs too much, the reviewers and chair may give it special attention, even before the PC meeting takes place.",FALSE,,,,,,,,,,,,,,
normal,4,4,42,Reviews can be updated.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,;update;review,,,,,,,,
normal,6,9,43,The review process can be monitored by the chair.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,
normal,17,24,44,"Papers are classified, using the highest and the lowest classification given by the reviewers (A to D), as described in the paper mentioned above.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;classify;papers,,,,,,,,
normal,16,23,45,"After the program committee meeting has taken place, and papers have been selected, the (anonymous) comments can be automatically sent to the authors.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,;send;comment,;send;author,,,,,,,
normal,11,20,46,"CyberChair provides direct reflection on submitted reviews (for easy comparison with the other reviewers' opinions), without the maintainer's interference.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;provide;direct reflection,;provide;review,,,,,,,
normal,6,10,47,"Furthermore, there is support for the preparation of the proceedings.",FALSE,,,,,,,,,,,,,,
normal,6,10,48,The Table of Contents and Author Index are automatically generated.,FALSE,,,,,,,,,,,,,,
normal,7,12,49,The resulting TeX file is according to Springer's editor's instructions.,FALSE,,,,,,,,,,,,,,
normal,7,10,50,Other formats will be included in future versions of CyberChair.,FALSE,,,,,,,,,,,,,,
normal,13,24,51,"There is also support for the preparation of the proceedings (using the format required for Springer Verlag, the publisher of the proceedings of ECOOP).",FALSE,,,,,,,,,,,,,,
normal,11,28,52,"The result is a significant decrease of the work-load of the program chair and the ease of submitting author information, papers and reviews instantly in electronic form.",FALSE,,,,,,,,,,,,,,
normal,32,41,53,"Although CyberChair is not something to sit in (please refer to www.cyberchair.com if you are looking for that), when you are a program chair, you can sit back, relax and watch the progress of the submission and review process.",FALSE,,,,,,,,,,,,,,
normal,14,21,54,"All you have to do is prepare the PC meeting, write acceptance and rejection messages, and the preface of the proceedings.",FALSE,,,,,,,,,,,,,,
normal,4,6,55,CyberChair takes care of the rest.,FALSE,,,,,,,,,,,,,,
normal,4,8,56,CyberChair is written in the Python programming language.,FALSE,,,,,,,,,,,,,,
normal,23,37,57,"It is known to run on versions 1.5.2, 2.0.1 and 2.1.3, be it that the latter may cause deprication warnings (2.1 does not, while 2.2.1 does for sure).",FALSE,,,,,,,,,,,,,,
normal,12,19,58,(Deprication warnings indicate that certain language constructs may no longer be supported in next versions of the language.),FALSE,,,,,,,,,,,,,,
normal,2,2,59,Until approx.,FALSE,,,,,,,,,,,,,,
normal,13,15,60,"March 2000, CyberChair was regularly updated to include new ideas, and suggestions by its users.",FALSE,,,,,,,,,,,,,,
normal,5,6,61,"After that, only bugfixes were made.",FALSE,,,,,,,,,,,,,,
normal,10,13,62,The version that is currently available for download was introduced for ECOOP 2000.,FALSE,,,,,,,,,,,,,,
normal,11,14,63,Other conferences and workshops that use(d) CyberChair can be found on an overview.,FALSE,,,,,,,,,,,,,,
normal,18,21,64,"If you'd like to use CyberChair, which is free software (GNU General Public License), please fill in a customization form.",FALSE,,,,,,,,,,,,,,
normal,54,76,65,"If you'd like to use CyberChair, but would rather not be bugged by installing and customizing CyberChair yourself (and use the latest, greatest version of CyberChairPRO, which is easier to work with, which has more tools, and streamlined versions of existing tools), you might want to consider delegating the submission and review process organization to a spin-off company specialized in managing this process, set up by the author of CyberChair: Borbala Online Conference Services.",FALSE,,,,,,,,,,,,,,
title,4,7,66,CyberChair: A Web-Based Groupware Application to,FALSE,,,,,,,,,,,,,,
title,4,5,67,Facilitate the Paper Reviewing Process,FALSE,,,,,,,,,,,,,,
normal,3,4,68,Richard van de Stadt,FALSE,,,,,,,,,,,,,,
title,2,4,69,Department of Computer Science,FALSE,,,,,,,,,,,,,,
title,2,3,70,University of Twente,FALSE,,,,,,,,,,,,,,
title,5,10,71,"P.O. Box 217, NL-7500 AE  Enschede, The Netherlands",FALSE,,,,,,,,,,,,,,
normal,1,5,72,+31 53 489 3731,FALSE,,,,,,,,,,,,,,
normal,1,4,73,stadt@cs.utwente.nl,FALSE,,,,,,,,,,,,,,
title,1,1,74,ABSTRACT,FALSE,,,,,,,,,,,,,,
normal,14,21,75,"In this paper we describe CyberChair, a web-based group­ware application that supports the review process for technical contributions to conferences.",FALSE,,,,,,,,,,,,,,
normal,15,24,76,"CyberChair deals with most administrative tasks that are involved in the review process, such as storing author information, abstracts, (camera-ready) papers and reviews.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,cyberchair;store;author information,cyberchair;store;abstract,cyberchair;store;papers,cyberchair;store;review,,,,,
normal,13,19,77,It generates several overviews based on the reviews which support the Program Committee (PC) in selecting the best papers.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,it;generate;overview,it;generate;review,,,,,,,
normal,15,17,78,CyberChair points out conflicting reviews and offers the reviewers means to easily communicate to solve these conflicts.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,cyberchair;point;review,,,,,,,,
normal,11,18,79,"In his paper Identify the Champion , O. Nierstrasz describes this review process in terms of a pattern language.",FALSE,,,,,,,,,,,,,,
normal,8,10,80,CyberChair supports PCs by using these patterns in its implementation.,FALSE,,,,,,,,,,,,,,
title,1,1,81,Keywords,FALSE,,,,,,,,,,,,,,
normal,16,16,82,"CSCW, Group Decision Support, Collaborative Authoring, Shared Workspace, Paper Submission, Review process, Program Committee, Proceedings, WWW",FALSE,,,,,,,,,,,,,,
title,1,1,83,INTRODUCTION,FALSE,,,,,,,,,,,,,,
normal,12,21,84,The review process for contributions for conferences can be rather tedious because of the administrative tasks that come with the process.,FALSE,,,,,,,,,,,,,,
normal,12,18,85,"Up until its 1996 edition, the European Conference on Object-Oriented Programming (ECOOP) used hard-copy review forms.",FALSE,,,,,,,,,,,,,,
normal,23,28,86,"We decided to automate this and provide electronic review forms, by using the World Wide Web (WWW), since all reviewers were now able to use this emerging technology.",FALSE,,,,,,,,,,,,,,
normal,7,8,87,The result turned out to be very fruitful.,FALSE,,,,,,,,,,,,,,
normal,14,24,88,"The next years the system was improved and more features, such as uploading of papers, were included in the system to support the process.",FALSE,,,,,,,,,,,,,,
normal,13,25,89,"The current version of CyberChair supports all phases of the review process, including preparation of the proceedings in the electronic format prescribed by the publisher.",FALSE,,,,,,,,,,,,,,
normal,12,22,90,The version described in this paper was used for ECOOP 2000 and  the International Workshop on Software Specification and  Design (IWSSD-10).,FALSE,,,,,,,,,,,,,,
normal,7,8,91,Other conferences have used older versions of CyberChair.,FALSE,,,,,,,,,,,,,,
title,2,3,92,THE REVIEW  PROCESS,FALSE,,,,,,,,,,,,,,
normal,8,12,93,"Generally, the review process for technical contributions to conferences is as follows.",FALSE,,,,,,,,,,,,,,
normal,11,16,94,"To enter the review process, authors must send their paper to the Program Committee Chair (PCC).",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,must;send;they,must;send;pcc,,,,,,,
normal,16,19,95,"When all submissions have arrived, suitable members of the Program Committee (PC) must be selected to review each paper.",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,member;review;paper,,,,,,,,
normal,14,24,96,"The PCC sends the papers and review forms to the reviewers, who must fill in the review forms and send these to the PCC.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,pcc;send;papers,pcc;send;review form,pcc;send;reviewer,reviewer;fill;review form,reviewer;send;these,reviewer;send;pcc,,,
normal,16,28,97,"Typically, the review process ends by organizing a Program Committee meeting, prepared by the PCC, where papers are discussed and accepted or rejected for presentation at the conference.",FALSE,,,,,,,,,,,,,,
normal,14,19,98,"After the meeting, the reviewers’ comments are sent back to the authors, so that they can improve their paper.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,;send;author,;send;comment,,,,,,,
normal,22,44,99,"The authors of accepted papers may submit a brushed-up version of their paper, in so-called camera-ready format to the PCC, who will send them, together with the preface and the table of contents to the publisher to have the proceedings printed.",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,author;submit;paper,author;submit;brushed-up version,,,,,,,
title,1,2,100,ADMINSTRATIVE TASKS,FALSE,,,,,,,,,,,,,,
normal,35,55,101,"The following administrative tasks can be identified during a typical review process: Author information, abstract and paper submission, paper-to-reviewer assignment, paper distribution, filling in and sending review forms, collecting review forms and ordering them, preparing the PC meeting, returning the reviewers’ comments to the authors, camera-ready paper submission and preparation of proceedings.",FALSE,,,,,,,,,,,,,,
normal,7,8,102,Members of the PC are also called ’reviewers’,FALSE,,,,,,,,,,,,,,
normal,19,27,103,"When email is used for the submission of papers and reviews, the physical distribution of papers, which is still used for many conferences, is no longer needed.",FALSE,,,,,,,,,,,,,,
normal,5,7,104,"However, the administrative tasks are still necessary.",FALSE,,,,,,,,,,,,,,
normal,7,9,105,The tasks mentioned above have been automated by CyberChair.,FALSE,,,,,,,,,,,,,,
normal,21,31,106,"Using the WWW, a commonality these days, the ones involved in the process can collaboratively use CyberChair to store possibly and possibly retrieve data from password-protected areas controlled by CyberChair.",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,one;store;datum,involve;retrieve;datum,,,,,,,
title,2,2,107,USING CYBERCHAIR,FALSE,,,,,,,,,,,,,,
normal,13,18,108,This section explains how the CyberChair handles the administration and supports its users during the complete reviewing process.,FALSE,,,,,,,,,,,,,,
normal,12,23,109,"This is done by showing the options for the kinds of users of CyberChair: the maintainer, the authors, the PCC and the reviewers.",FALSE,,,,,,,,,,,,,,
title,1,2,110,The Maintainer,FALSE,,,,,,,,,,,,,,
normal,9,13,111,The maintainer (who might be the same person as the PCC) installs CyberChair.,FALSE,,,,,,,,,,,,,,
normal,17,29,112,"This includes editing the files that contain the templates for the PCC and reviewer information, the file containing the main topics of the conference, and setting up a website.",FALSE,,,,,,,,,,,,,,
normal,9,12,113,The maintainer also makes sure that overviews are generated at regular intervals.,FALSE,,,,,,,,,,,,,,
normal,17,23,114,"Further, the maintainer may need to convert submitted papers to other formats, or ask the authors to submit the paper in another format.",FALSE,,,,,,,,,,,,,,
normal,11,15,115,The maintainer should make sure that enough disk space is available to store the papers.,FALSE,,,,,,,,,,,,,,
normal,14,24,116,"After the review process, the maintainer makes sure that the notifications of acceptance and rejections, including the reviewers’ remarks, are sent to the authors.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;send;author,;send;notification,;send;remark,,,,,,
normal,19,36,117,"Finally, after the camera-ready papers have been submitted, the proceedings must be prepared by the maintainer by entering the conference sessions and the numbers of the papers within those sections in a specific template file.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,maintainer;enter;conference session,maintainer;enter;number,maintainer;enter;papers,,,,,,
normal,11,20,118,"If the publisher allows electronic versions, the maintainer should send or upload the proceedings, for further preparation by the publisher.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,maintainer;upload;proceedings,maintainer;send;proceedings,,,,,,,
title,1,2,119,The Authors,FALSE,,,,,,,,,,,,,,
normal,7,8,120,Authors must submit their paper in two steps.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,author;submit;paper,,,,,,,,
normal,13,24,121,CyberChair assigns a unique identification to the submission and sends a login and password combination for step 2 to the contact person’s email address.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,cyberchair;assign;unique identification,cyberchair;assign;submission,cyberchair;send;login,cyberchair;send;password,cyberchair;send;email address,,,,
normal,27,43,122,"In the first step, authors must fill in a webform shown by figures 1 and 2, on which they state their names and contact information, the title of their paper, an abstract of the paper, and indicate which conference topics their paper covers.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,author;fill;webform,author;state;name,author;state;contact information,author;state;title,author;state;paper,author;state;abstract,author;state;paper,author;indicate;conference topic,author;indicate;paper
normal,8,12,123,"In step 2, the full paper must be submitted by uploading it.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,;submit;full paper,;upload;it,,,,,,,
normal,9,13,124,The authors must use the login and password combination sent after phase 1.,FALSE,,,,,,,,,,,,,,
normal,11,16,125,The authors may make corrections or changes to the  information that was submitted in step 1.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,author;make;correction,author;make;change,author;make;information,,,,,,
normal,14,22,126,"After the review process, the authors of submitted papers should submit a camera-ready version of their paper, analogous to step 2.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,author;submit;camera-ready version,author;submit;paper,,,,,,,
normal,6,8,127,"Figure 2 - Submission form for authors, conference topics",FALSE,,,,,,,,,,,,,,
title,1,2,128,The Reviewers,FALSE,,,,,,,,,,,,,,
normal,5,10,129,Identifying the right reviewers for papers is a difficult task.,FALSE,,,,,,,,,,,,,,
normal,10,20,130,"Following the patterns Experts Review Papers and Champions Review Papers , papers should be matched to domain experts in the PC.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,;match;papers,;match;domain expert,,,,,,,
normal,17,19,131,This can be done by letting the reviewers indicate which papers they would like to review (also called ’bidding’).,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,reviewer;indicate;papers,reviewer;review;papers,,,,,,,
normal,12,17,132,Papers that have not received enough bids should be assigned based on the expertise of the reviewers.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,;assign;papers,;assign;expertise,;assign;reviewer,,,,,,
normal,1,2,133,Bidding support,FALSE,,,,,,,,,,,,,,
normal,14,18,134,"To support reviewers with making choices, CyberChair provides them with several webpages containing overviews of  the submitted abstracts.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,reviewer;make;choice,;provide;abstract,;provide;overview,,,,,,
normal,16,21,135,"Reviewers can browse the overviews by conference topic, to quickly identify the papers that match their interest  and expertise (Figure 3).",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,reviewer;browse;overview,reviewer;browse;conference topic,reviewer;identify;quickly,,,,,,
normal,18,23,136,"Clicking on a topic will show a list of all abstracts of papers that cover that topic, which can then easily be browsed.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,;click;topic,;show;list,;show;abstract,;show;papers,,,,,
normal,15,23,137,"For each paper that a reviewer would like to review, the corresponding checkbox in the left part of the window should be marked.",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,reviewer;mark;checkbox,reviewer;review;paper,,,,,,,
normal,16,19,138,"Further, a high or low priority should be chosen, to indicate how eager they are to review the paper.",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,;choose;priority,;review;paper,,,,,,,
normal,5,6,139,Reviewers may bid in several stages.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,reviewer;bid;,,,,,,,,
normal,4,5,140,The submitted bids are accumulated.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;accumulate;bid,,,,,,,,
normal,14,18,141,"Further, overviews are available that contain, per conference topic, all abstracts, and an overview that contains all abstracts.",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,;available;overview,;available;conference topic,;available;abstract,;available;overview,;available;abstract,,,,
normal,11,14,142,These overviews can be printed in case reviewers want to read the abstracts offline.,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,;print;overview,,,,,,,,
normal,17,21,143,"For this process to work smoothly, the abstracts should be submitted at least one week  before the full paper is submitted.",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,;submit;full paper,;submit;abstract,,,,,,,
normal,16,22,144,Reviewers are also asked to inform the maintainer of papers they do not want to review because of a conflict of interest.,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,reviewer;inform;maintainer,reviewer;inform;papers,reviewer;inform;conflict interest,,,,,,
normal,4,5,145,Figure 3 - Bidding for papers,FALSE,,,,,,,,,,,,,,
normal,2,2,146,Reviewers’ expertise,FALSE,,,,,,,,,,,,,,
normal,15,21,147,The reviewers are asked to indicated their expertise of the conference topics and their willingness to review papers on those topics.,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,reviewer;indicate;expertise,reviewer;indicate;conference topic,reviewer;indicate;willingness,reviewer;review;papers,,,,,
normal,5,8,148,This information is used for the paper distribution.,FALSE,,,,,,,,,,,,,,
normal,17,26,149,"Reviewers can indicate whether they are an expert on the topic (X), no expert, but knowledgable in the subject area (Y), or an informed outsider (Z).",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,reviewer;indicate;expert,reviewer;indicate;expert,reviewer;indicate;informed outsider,reviewer;indicate;topic,,,,,
normal,22,29,150,"For the willingness to review papers of certain topics the reviewers can indicate whether they would rather not review such papers (R), or will not review such papers (W).",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,reviewer;indicate;such papers,reviewer;indicate;topic,,,,,,,
normal,13,18,151,"For each topic, either X, Y or Z should be indicated, followed by an optional R or W.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,;indicate;topic,;indicate;x,;indicate;y,;indicate;z,,,,,
normal,2,2,152,Reviewers’ webpages,FALSE,,,,,,,,,,,,,,
normal,7,14,153,"After the paper distribution, CyberChair generates a personal, password-protected webpage for each reviewer.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,cyberchair;generate;password-protected webpage,reviewer;generate;password-protected webpage,,,,,,,
normal,7,9,154,This page consists of several dynamically generated HTML frames.,FALSE,,,,,,,,,,,,,,
normal,12,19,155,"The top frame shows, in colored boxes, the numbers of all papers that have been assigned to the reviewer.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,top frame;show;number,top frame;show;papers,;assign;reviewer,,,,,,
normal,15,23,156,"The colored boxes indicate the state of the reviews, which is determined each time a review is submitted by any of the reviewers.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,box;indicate;review,box;indicate;state,reviewer;submit;review,,,,,,
normal,8,13,157,The state is based on the classification given to papers by the reviewers.,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,reviewer;give;classification,reviewer;give;papers,,,,,,,
normal,5,8,158,The rest of the webpage is initially empty.,FALSE,,,,,,,,,,,,,,
normal,19,28,159,"After clicking on a paper number several hyperlinks are generated to allow the paper to be downloaded, to display the abstract and to submit or update a review.",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,;click;paper number,;generate;hyperlink,;download;paper,;display;abstract,;submit;review,;update;review,,,
normal,24,32,160,"When a reviewer has submitted all his reviews and has time to review more papers, he may look at the overview containing all papers and select papers for which conflicting reviews exist.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,reviewer;submit;review,he;look;overview,he;look;papers,he;look;select papers,he;look;conflicting review,,,,
normal,8,13,161,The reviewer can be added to the list of reviewers for that paper.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,;add;reviewer,;add;list,;add;reviewer,;add;paper,,,,,
normal,8,10,162,His or her personal webpage will then be updated automatically.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,;update;personal webpage,,,,,,,,
normal,4,5,163,Figure 4 - A reviewer’s page,FALSE,,,,,,,,,,,,,,
normal,21,31,164,"In case a reviewer has already submitted a review of the selected paper, hyperlinks to the reviews of the other reviewers are shown, so that the reviewer can read their opinion.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,reviewer;submit;review,reviewer;submit;paper,reviewer;show;hyperlink,reviewer;show;review,reviewer;read;opinion,,,,
normal,15,21,165,"In case conflicting reviews exist, the reviewers can use the hyperlink that enables easy communication to the other reviewers by email.",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,reviewer;use;hyperlink,reviewer;use enable;easy communication,reviewer;use enable;reviewer,reviewer;use enable;email,,,,,
normal,5,10,166,A copy of the message is sent to the PCC.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;send;message,;send;pcc,,,,,,,
normal,15,21,167,"Further, links are provided that contain all reviews of the reviewer, and all reviews of all reviewers of the paper, respectively.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;provide;link,;contain;review,;contain;reviewer,;contain;review,;contain;reviewer,;contain;paper,,,
normal,13,20,168,"The top frame is automatically updated every 5 minutes, to reflect the current state of the reviews of the papers.",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,;reflect;current state,;reflect;review,;reflect;papers,;update;top frame,,,,,
normal,2,3,169,Classifcation of papers,FALSE,,,,,,,,,,,,,,
normal,14,21,170,"Following Nierstrasz’s pattern Make Champions Explicit , the reviewers are asked to fill in the classification of papers on the review form.",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,reviewer;fill;classification,reviewer;be;papers,reviewer;fill;review form,,,,,,
list-start,4,5,171,The following classifications are used:,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;use;classification,,,,,,,,
list-member,13,13,172,"1) ""I will champion this paper at the PC meeting (Advocate or Accept)"".",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,;use;classification,,,,,,,,
list-member,17,16,173,"2) ""I can accept this paper, but I will not champion it (accept, but could reject)"".",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,;use;classification,,,,,,,,
list-member,19,18,174,"3) ""This paper should be rejected, though I will not fight strongly against it (reject, but could accept)"".",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,;use;classification,,,,,,,,
