,type,AccessControl,Xiao_AC,Sentence
981,normal,1,0,The LHCP clicks this number to view the physiologic data monitoring details of his or her patients for the current date.
983,normal,1,0,"Each row in the list includes their blood pressure and glucose levels, recording timestamp, and whom reported the data (patient, UAP name, personal representative name)."
984,normal,1,0,An LHCP views the number of submitted weight or pedometer data monitoring reports of his or her patients for the current date.
985,normal,1,0,The LHCP clicks this number to view the weight or pedometer monitoring details of his or her patients for the current date.
987,normal,1,0,"Each row in the list includes their weight and pedometer reading numbers levels, recording timestamp, and whom reported the data (patient, UAP name, personal representative name)."
988,normal,1,0,"A user (a patient, patient representative, or LHCP) views the number of unread messages from his or her message inbox."
989,normal,1,0,The user clicks this number to view his or her message inbox.
990,normal,1,0,The user is presented with a list of his or her messages in the message inbox.
991,normal,1,0,"Each row in the list includes the message subject, the name of the sender, and timestamp."
994,normal,1,0,"A user (a patient or personal health representative) views basic information about his or her designated LHCPs, including the name, phone number, and contact email information ."
1003,normal,1,0,"After the patient logs in, an activity feed is displayed ."
1042,normal,1,0,"An HCP chooses to add  or edit  patient specific instructions, document an office visit or modify an already documented office visit."
1043,normal,1,0,The HCP enters a MID or a patient  or name of a patient and confirms their selection .
1044,normal,1,0,And HCP chooses to add  or edit  patient specific instructions.
1045,normal,1,0,"A patient chooses to view their patient specific instructions by selecting a link named ""Patient Specific Instructions"" under the View heading in the left hand menu ."
1047,normal,1,0,The HCP enters a MID  or name of a patient and confirms their selection .
1048,list-start,1,0,The HCP enters the following information under a section for patient specific instructions:
1049,list-member,1,0,"* a descriptive name for the instructions (required),."
1050,list-member,1,0,"* a URL to an external website containing patient specific instructions (required),."
1051,list-member,1,0,* additional comments for the patient (required).
1052,normal,1,0,"After entering all required information, the HCP selects the Add button ."
1056,normal,1,0,Patient specific instructions are listed for a patient.
1057,normal,1,0,"In each row, the descriptive name is a link to the URL containing patient specific instructions."
1058,normal,1,0,"The row also contains the HCP that provided the instructions, the HCP comments, the office visit date, and the latest add or modification date."
1061,normal,1,0,Patient specific instructions for an office visit are listed.
1063,normal,1,0,"The row also contains the HCP's comments, latest add or modification date, and an option to edit and delete the patient specific instructions ."
1081,normal,1,0,A LHCP or PHA chooses to examine recent trends in diagnoses  or to determine if an ailment is reaching epidemic proportions in a given area.
1087,normal,1,0,The LHCP is then provided counts for the specified time period as well as a bar chart.
1088,normal,1,0,"The counts shown include: (1) the number of cases for the exact zip code provided; and (2) the number of cases for the region (region defined by the zip code that match the first three numbers in the provided zip code (e.g. if zip code 27695 is provided, all data with zip code 276xx is analyzed, where each x is any digit from 0-9)."
1091,normal,1,0,The LHCP is provided with a bar chart of diagnosis counts during the specified time period as well as a yes or no answer on whether an epidemic is occurring during any consecutive two weeks during the time period.
1094,normal,1,0,The LHCP is provided a bar chart of diagnosis counts during the specified time period as well as a yes or no answer on whether an epidemic is occurring during any consecutive two weeks during the time period.
1104,normal,1,0,"The LHCP requests a comprehensive report for all patients with a specified gender, age, and diagnosis ."
1107,normal,1,0,"The LHCP chooses to view a report of all patients of a single or either gender, in a specified age range , with none, one, or more diagnoses."
1109,normal,1,0,"All patient demographic information (address, phone, etc.), see (UC4) and Data Format 6.1."
1111,normal,1,0,"All designated HCPs (MIDs and Names), see (UC6)."
1112,normal,1,0,"All allergies, procedures, medications, office visits, and known relatives, see (UC11) and Data Format 6.5, 6.6."
1121,normal,1,0,"The patient looks for an hospital with experience in physical services, as specified by LOINC codes of the office visits (UC15) and is given a list of the 5 most experienced Hospitals in that particular field."
1123,normal,1,0,"The Patient is presented with a list of physical services, populated by the LOINC codes (UC15) currently stored in iTrust."
1124,normal,1,0,"The patient selects the relevant physical services he is interested in, and is then presented with the top five hospitals with that experience."
1125,normal,1,0,The Patient requests the closest hospitals so that only nearby hospitals are presented.
